0,7,73.1,17.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,32.1,37.6,-5,41,-20,0,0,0,0,7.9
3.47,7,73.1,17.6,0,1,0,0,9.4,1,5,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,1,12,32.1,37.6,-5,41,-20,0,0,0,0,-0.1
-1.98,7,73.1,17.6,0,1,0,0,0.9,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,32.1,37.6,-5,41,-20,0,0,0,0,3.5
-2.53,7,73.1,17.6,0,0,0,0,1.6,1,5,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,1,12,32.1,37.6,-5,41,-20,0,0,0,0,0
2.41,7,73.1,17.6,0,1,0,0,7.6,2,3,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,1,12,32.1,37.6,-5,41,-20,0,0,0,0,9.2
0,7,73.1,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,32.1,37.6,-5,41,-20,0,0,0,0,0
0,7,73.1,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,32.1,37.6,-5,41,-20,0,0,0,0,0
2.28,7,73.1,17.6,0,1,0,0,4.9,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,12,32.1,37.6,-5,41,-20,0,0,0,0,-0.3
0,7,73.1,17.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,32.1,37.6,-5,41,-20,0,0,0,0,5.3
0,7,73.1,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,32.1,37.6,-5,41,-20,0,0,0,0,0
0,7,73.1,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,32.1,37.6,-5,41,-20,0,0,0,0,0
